"用户分层","二级分层","数量","占比",kwai_confidential
"上月低活","","168068333","",
"上月低活->本月未活跃","","58857060","",
"上月低活->本月中高全勤","","16305705","",
"上月低活->本月中高全勤","低活->中活","12912641","0.791909396128533",
"上月低活->本月中高全勤","低活->高活","2948895","0.18085050600388022",
"上月低活->本月中高全勤","低活->全勤","444169","0.027240097867586837",
"上月低活->本月低活","","92905568","",
"上月未活跃->本月低活","","43068921","",
"上月中高全勤->本月低活","","23005581","",
"上月中高全勤->本月低活","中活->低活","17628856","0.766286059021939",
"上月中高全勤->本月低活","高活->低活","4270046","0.18560913545282773",
"上月中高全勤->本月低活","全勤->低活","1106679","0.048104805525233205",
"本月低活","","169018289","",
